date,hrv_rmssd_ms,resting_hr_bpm,sleep_hours,weight_kg,ctl,atl,source
2024-01-01,,,,,17.676037,32.39713,intervals
2024-01-02,,,,,17.260149,32.87675,intervals
2024-01-03,,,,,16.854046,30.363838,intervals
2024-01-04,,,,,16.457499,27.652962,intervals
2024-01-05,,,,,16.070282,25.16984,intervals
2024-01-06,,,,,15.692175,26.877817,intervals
2024-01-07,,,,,15.322965,23.299786,intervals
2024-01-08,,,,,14.962441,23.526121,intervals
2024-01-09,,,,,18.23376,42.35942,intervals
2024-01-10,,,,,20.228167,59.88369,intervals
2024-01-11,,,,,19.752232,54.840534,intervals
2024-01-12,,,,,19.287495,47.540047,intervals
2024-01-13,,,,,18.833693,41.211414,intervals
2024-01-14,,,,,18.390568,35.725266,intervals
2024-01-15,,,,,17.957869,30.969442,intervals
2024-01-16,,,,,17.53535,26.846725,intervals
2024-01-17,,,,,17.122774,23.272833,intervals
2024-01-18,,,,,16.719904,20.174704,intervals
2024-01-19,,,,,16.326513,18.687103,intervals
2024-01-20,,,,,16.012962,16.598803,intervals
2024-01-21,,,,,15.636205,14.389135,intervals
2024-01-22,,,,,15.2683115,17.798508,intervals
2024-01-23,,,,,14.909074,21.020262,intervals
2024-01-24,,,,,15.828817,25.410593,intervals
2024-01-25,,,,,16.773977,30.148329,intervals
2024-01-26,,,,,16.379314,29.596094,intervals
2024-01-27,,,,,17.405636,33.643524,intervals
2024-01-28,,,,,16.99611,34.755955,intervals
2024-01-29,,,,,16.596222,34.921566,intervals
2024-01-30,,,,,17.452742,41.188747,intervals
2024-01-31,,,,,17.042109,40.49801,intervals
2024-02-01,,,,,17.135231,37.902393,intervals
2024-02-02,,,,,16.732067,46.834568,intervals
2024-02-03,,,,,19.749994,59.902557,intervals
2024-02-04,,,,,19.28531,51.928204,intervals
2024-02-05,,,,,18.83156,48.742832,intervals
2024-02-06,,,,,18.388485,48.3777,intervals
2024-02-07,,,,,17.955835,45.398735,intervals
2024-02-08,,,,,19.180347,48.673706,intervals
2024-02-09,,,,,18.729067,46.454067,intervals
2024-02-10,,,,,18.947197,51.851627,intervals
2024-02-11,,,,,18.501402,44.949028,intervals
2024-02-12,,,,,18.066095,42.559616,intervals
2024-02-13,,,,,17.641031,42.218876,intervals
2024-02-14,,,,,18.567081,44.18657,intervals
2024-02-15,,,,,18.13023,42.03178,intervals
2024-02-16,,,,,17.703657,41.095695,intervals
2024-02-17,,,,,20.675198,59.18756,intervals
2024-02-18,,,,,20.188745,55.30205,intervals
2024-02-19,,,,,19.713737,51.268177,intervals
2024-02-20,,,,,19.249907,46.173836,intervals
2024-02-21,,,,,18.79699,43.754498,intervals
2024-02-22,,,,,18.354729,37.929806,intervals
2024-02-23,,,,,17.922873,38.072273,intervals
2024-02-24,,,,,18.72465,39.92636,intervals
2024-02-25,,,,,18.28409,42.19924,intervals
2024-02-26,,,,,17.853897,40.575253,intervals
2024-02-27,,,,,17.433825,37.0375,intervals
2024-02-28,,,,,17.023636,35.43504,intervals
2024-02-29,,,,,17.117193,33.513416,intervals
2024-03-01,,,,,16.714455,35.575024,intervals
2024-03-02,,,,,18.83872,45.083267,intervals
2024-03-03,,,,,18.395477,39.081688,intervals
2024-03-04,,,,,17.962664,39.070812,intervals
2024-03-05,,,,,17.540033,36.93143,intervals
2024-03-06,,,,,17.127346,36.54119,intervals
2024-03-07,,,,,16.72437,35.936657,intervals
2024-03-08,,,,,16.330873,36.344456,intervals
2024-03-09,,,,,17.758316,47.880222,intervals
2024-03-10,,,,,17.340492,41.506306,intervals
2024-03-11,,,,,16.932499,39.575195,intervals
2024-03-12,,,,,16.534105,39.09926,intervals
2024-03-13,,,,,16.145086,37.754826,intervals
2024-03-14,,,,,16.847523,38.85244,intervals
2024-03-15,,,,,16.451128,38.87208,intervals
2024-03-16,,,,,16.934608,42.749653,intervals
2024-03-17,,,,,16.536165,37.05873,intervals
2024-03-18,,,,,16.147097,39.9796,intervals
2024-03-19,,,,,15.767182,36.254894,intervals
2024-03-20,,,,,15.396207,37.685307,intervals
2024-03-21,,,,,15.104545,33.067924,intervals
2024-03-22,,,,,16.160858,36.65318,intervals
2024-03-23,,,,,15.780621,31.77383,intervals
2024-03-24,,,,,15.409329,27.544031,intervals
2024-03-25,,,,,18.387794,42.78065,intervals
2024-03-26,,,,,17.95516,37.0856,intervals
2024-03-27,,,,,17.532705,38.00606,intervals
2024-03-28,,,,,17.12019,32.946613,intervals
2024-03-29,,,,,17.305588,31.888744,intervals
2024-03-30,,,,,16.898417,30.572334,intervals
2024-03-31,,,,,16.500826,26.502481,intervals
2024-04-01,,,,,16.112589,27.367445,intervals
2024-04-02,,,,,15.733487,26.253553,intervals
2024-04-03,,,,,15.363305,28.615997,intervals
2024-04-04,,,,,16.225306,31.728926,intervals
2024-04-05,,,,,15.843552,34.028088,intervals
2024-04-06,,,,,18.38829,46.005337,intervals
2024-04-07,,,,,17.955645,39.88101,intervals
2024-04-08,,,,,17.533178,37.500652,intervals
